MSA,Population
"Las Vegas-Henderson-Paradise, NV",1951269
"Lawrence, KS",110826
"Lawton, OK",130291
"Lebanon, PA",133568
"Lewiston, ID-WA",60888
"Lewiston-Auburn, ME",107702
"Lexington-Fayette, KY",472099
"Lima, OH",106331
"Lincoln, NE",302157
"Little Rock-North Little Rock-Conway, AR",699757
"Logan, UT-ID",125442
"Longview, TX",214369
"Longview, WA",102410
"Los Angeles-Long Beach-Anaheim, CA",12828837
"Louisville/Jefferson County, KY-IN",1235708
"Lubbock, TX",290805
"Lynchburg, VA",252634
"Macon, GA",232293
"Madera, CA",150865
"Madison, WI",605435
"Manchester-Nashua, NH",400721
"Manhattan, KS",92719
"Mankato-North Mankato, MN",96740
"Mansfield, OH",124475
"McAllen-Edinburg-Mission, TX",774769
"Medford, OR",203206
"Memphis, TN-MS-AR",1324829
"Merced, CA",255793
"Miami-Fort Lauderdale-West Palm Beach, FL",5564635
"Michigan City-La Porte, IN",111467
"Midland, MI",83629
"Midland, TX",141671
"Milwaukee-Waukesha-West Allis, WI",1555908
"Minneapolis-St. Paul-Bloomington, MN-WI",3348859
"Missoula, MT",109299
"Mobile, AL",412992
"Modesto, CA",514453
"Monroe, LA",176441
"Monroe, MI",152021
"Montgomery, AL",374536
"Morgantown, WV",129709
"Morristown, TN",113951
"Mount Vernon-Anacortes, WA",116901
"Muncie, IN",117671
"Muskegon, MI",172188
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",376722
"Napa, CA",136484
"Naples-Immokalee-Marco Island, FL",321520
"Nashville-Davidson--Murfreesboro--Franklin, TN",1670890
"New Bern, NC",126802
"New Haven-Milford, CT",862477
"New Orleans-Metairie, LA",1189866
"New York-Newark-Jersey City, NY-NJ-PA",19567410
"Niles-Benton Harbor, MI",156813
"North Port-Sarasota-Bradenton, FL",702281
"Norwich-New London, CT",274055
"Ocala, FL",331298
"Ocean City, NJ",97265
"Odessa, TX",137130
"Ogden-Clearfield, UT",597159
"Oklahoma City, OK",1252987
"Olympia-Tumwater, WA",252264
"Omaha-Council Bluffs, NE-IA",865350
"Orlando-Kissimmee-Sanford, FL",2134411
"Oshkosh-Neenah, WI",166994
"Owensboro, KY",114752
"Oxnard-Thousand Oaks-Ventura, CA",823318
"Palm Bay-Melbourne-Titusville, FL",543376
"Panama City, FL",184715
"Parkersburg-Vienna, WV",92673
"Pensacola-Ferry Pass-Brent, FL",448991
"Peoria, IL",379186
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",5965343
"Phoenix-Mesa-Scottsdale, AZ",4192887
"Pine Bluff, AR",100258
"Pittsburgh, PA",2356285
"Pittsfield, MA",131219
"Pocatello, ID",82839
"Portland-South Portland, ME",514098
"Portland-Vancouver-Hillsboro, OR-WA",2226009
"Port St. Lucie, FL",424107
"Prescott, AZ",211033
"Providence-Warwick, RI-MA",1600852
"Provo-Orem, UT",526810
"Pueblo, CO",159063
"Punta Gorda, FL",159978
"Racine, WI",195408
"Raleigh, NC",1130490
"Rapid City, SD",134598
"Reading, PA",411442
"Redding, CA",177223
"Reno, NV",425417
"Richmond, VA",1208101
"Riverside-San Bernardino-Ontario, CA",4224851
"Roanoke, VA",308707
"Rochester, MN",206877
"Rochester, NY",1079671
"Rockford, IL",349431
"Rocky Mount, NC",152392
"Rome, GA",96317
"Sacramento--Roseville--Arden-Arcade, CA",2149127
"Saginaw, MI",200169
"St. Cloud, MN",189093
"St. George, UT",138115
"St. Joseph, MO-KS",127329
"St. Louis, MO-IL",2787701
"Salem, OR",390738
"Salinas, CA",415057
"Salisbury, MD-DE",373802
"Salt Lake City, UT",1087873
"San Angelo, TX",111823
"San Antonio-New Braunfels, TX",2142508
"San Diego-Carlsbad, CA",3095313
"San Francisco-Oakland-Hayward, CA",4335391
"San Jose-Sunnyvale-Santa Clara, CA",1836911
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",269637
"Santa Cruz-Watsonville, CA",262382
"Santa Fe, NM",144170
"Santa Maria-Santa Barbara, CA",423895
"Santa Rosa, CA",483878
"Savannah, GA",347611
"Scranton--Wilkes-Barre--Hazleton, PA",563631
"Seattle-Tacoma-Bellevue, WA",3439809
"Sebastian-Vero Beach, FL",138028
"Sebring, FL",98786
"Sheboygan, WI",115507
"Sherman-Denison, TX",120877
"Shreveport-Bossier City, LA",439811
"Sierra Vista-Douglas, AZ",131346
"Sioux City, IA-NE-SD",168563
"Sioux Falls, SD",228261
"South Bend-Mishawaka, IN-MI",319224
"Spartanburg, SC",313268
"Spokane-Spokane Valley, WA",527753
"Springfield, IL",210170
"Springfield, MA",621570
"Springfield, MO",436712
"Springfield, OH",138333
"State College, PA",153990
"Staunton-Waynesboro, VA",118502
"Stockton-Lodi, CA",685306
"Sumter, SC",107456
"Syracuse, NY",662577
"Tallahassee, FL",367413
"Tampa-St. Petersburg-Clearwater, FL",2783243
"Terre Haute, IN",172425
"Texarkana, TX-AR",149198
"The Villages, FL",93420
"Toledo, OH",610001
"Topeka, KS",233870
"Trenton, NJ",366513
"Tucson, AZ",980263
"Tulsa, OK",937478
"Tuscaloosa, AL",230162
"Tyler, TX",209714
"Urban Honolulu, HI",953207
"Utica-Rome, NY",299397
"Valdosta, GA",139588
"Vallejo-Fairfield, CA",413344
"Victoria, TX",94003
"Vineland-Bridgeton, NJ",156898
"Virginia Beach-Norfolk-Newport News, VA-NC",1676822
"Visalia-Porterville, CA",442179
"Waco, TX",252772
"Walla Walla, WA",62859
"Warner Robins, GA",179605
"Washington-Arlington-Alexandria, DC-VA-MD-WV",5636232
"Waterloo-Cedar Falls, IA",167819
"Watertown-Fort Drum, NY",116229
"Wausau, WI",134063
"Weirton-Steubenville, WV-OH",124454
"Wenatchee, WA",110884
"Wheeling, WV-OH",147950
"Wichita, KS",630919
"Wichita Falls, TX",151306
"Williamsport, PA",116111
"Wilmington, NC",254884
"Winchester, VA-WV",128472
"Winston-Salem, NC",640595
"Worcester, MA-CT",916980
"Yakima, WA",243231
"York-Hanover, PA",434972
"Youngstown-Warren-Boardman, OH-PA",565773
"Yuba City, CA",166892
"Yuma, AZ",195751
